FPC Code,Mfg,Frame Name Cat,Color,Material,Mkd A,Mkd DBL,Tpl,,,,,,,,,,,,,,,
409717001124,PERC,L'AMY AMERCIA COLUMBIA,WISTERIA FADE,METAL,52,17,135,,,,,,,,,,,,,,,
409717001407,PERC,MCGEE CORINE,BROWN,PLASTIC,53,16,140,,,,,,,,,,,,,,,
409717001391,PERC,MCGEE CORINE,BLACK,PLASTIC,53,16,140,,,,,,,,,,,,,,,
409717001841,PERC,MCGEE DARLENE,CHERRY BLOSSOMS,PLASTIC,52,17,140,,,,,,,,,,,,,,,
409717001858,PERC,MCGEE DARLENE,INK BLUE,PLASTIC,52,17,140,,,,,,,,,,,,,,,
409717001827,PERC,MCGEE DELPHINE,CARAMEL,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717001834,PERC,MCGEE DELPHINE,EBONY,PLASTIC,51,15,135,,,,,,,,,,,,,,,
409717001483,PERC,MCGEE DESIREE,BROWN,METAL,51,16,135,,,,,,,,,,,,,,,
409717001476,PERC,MCGEE DESIREE,BLACK,METAL,51,16,135,,,,,,,,,,,,,,,
409717001766,PERC,MCGEE DEVYN,BLACK,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717001773,PERC,MCGEE DEVYN,CARAMEL,PLASTIC,52,15,135,,,,,,,,,,,,,,,
409717000219,PERC,REM EYEWEAR DJ,BLACK,METAL,52,17,135,,,,,,,,,,,,,,,
409717000226,PERC,REM EYEWEAR DJ,FOREST,METAL,52,17,135,,,,,,,,,,,,,,,
409717000912,PERC,L'AMY AMERCIA EDWARDS MT.,GUNMETAL,METAL,58,19,150,,,,,,,,,,,,,,,
409717001254,PERC,MCGEE ELISE,BLACK HORN,PLASTIC,52,17,135,,,,,,,,,,,,,,,
409717001261,PERC,MCGEE ELISE,BROWN HORN,PLASTIC,52,17,135,,,,,,,,,,,,,,,
409717001810,PERC,MCGEE EMELINE,TOFFEE IVORY HORN,METAL,52,16,135,,,,,,,,,,,,,,,
409717001803,PERC,MCGEE EMELINE,BLACK MIDNIGHT BLUE,METAL,52,16,135,,,,,,,,,,,,,,,
409717001636,PERC,MCGEE EMERSON,BLUE BAYOU,PLASTIC,53,17,137,,,,,,,,,,,,,,,
409717001643,PERC,MCGEE EMERSON,FLOWER SHOWER,PLASTIC,53,17,137,,,,,,,,,,,,,,,
409717001179,PERC,MCGEE FAITH,CAMELLIA,PLASTIC,52,17,130,,,,,,,,,,,,,,,
409717001353,PERC,MCGEE FAITH,MARINA PAISLEY,PLASTIC,52,17,130,,,,,,,,,,,,,,,
409717001728,PERC,MCGEE FARRAH,FLOWER SHOWER,METAL,52,16,130,,,,,,,,,,,,,,,                                                                                                                                                                                             
409717001711,PERC,MCGEE FARRAH,CLEMENTINE,METAL,52,16,130,,,,,,,,,,,,,,,
409717001889,PERC,MCGEE FLORETTE,EBONY,METAL,52,16,135,,,,,,,,,,,,,,,
